,address,zip,building_type,price,beds,baths,sqft,price/sqft,agent,brokerage
668,601 Van Ness Ave APT 1045,94102,- Condo for sale,799000,2 ,2 ,894,893.7360178970918, Lauren A. Schultze,PARK NORTH REAL ESTATE
669,858 Capp St #2,94110,- New construction,1199000,2 ,2 ,1015,1181.28078817734, Frank A. Nolan,VANGUARD PROPERTIES
670,1875 Mission St APT 106,94103,- New construction,675000,1 ,1 ,618,1092.2330097087379, Jason H. Hoffman,COMPASS
671,631 Ofarrell St APT 1210,94109,- Condo for sale,479000,Studio,1 ,0,inf, Thomas Cacciotti,VANGUARD PROPERTIES
672,8 Octavia St UNIT 608,94102,- Condo for sale,1295000,2 ,2 ,1001,1293.7062937062938, Morton Mah,COMPASS
673,223 Fair Oaks St #227,94110,- Multi-family home for sale,4195000,5 ,6 ,4000,1048.75, Stefano Dezerega,CORCORAN GLOBAL LIVING
674,7 Juri St,94110,- House for sale,2295000,3 ,2 ,1577,1455.294863665187,0,0
675,945 Green St #7,94133,- Condo for sale,8950000,3 ,4 ,4000,2237.5, Steven M. Gothelf,SOTHEBY'S INTERNATIONAL REALTY
676,1268 Dolores St,94110,- Condo for sale,1389000,2 ,2 ,1267,1096.2904498816101,0,0
677,971 Le Conte Ave,94124,- House for sale,914000,2 ,1 ,841,1086.8014268727704, Ying He,CENTURY 21 REALTY ALLIANCE
678,75 Howard St #409,94105,- New construction,1250000,1 ,1 ,880,1420.4545454545455, Inc. and SRE Group Ltd.,Paramount Group
679,718 Long Bridge St APT 218,94158,- Condo for sale,2555000,3 ,3 ,1893,1349.7094558901215, Leslie Bauer,COLDWELL BANKER REALTY
680,1510 Newcomb Ave,94124,- House for sale,1129000,5 ,2 ,2077,543.572460279249,0,0
681,3159-3163 24th St,94110,- House for sale,2698000,7 ,3 ,5040,535.3174603174604,0,0
682,1688 Pine St #WPH01,94109,- New construction,2499000,2 ,3 ,1427,1751.2263489838822, Carter Waite,COMPASS
683,2256 19th Ave,94116,- Multi-family home for sale,2690000,8 ,5 ,4295,626.3096623981373, Lanting Chen,BERKSHIRE HATHAWAY DRYSDALE PR
684,1298 Treat Ave,94110,- Condo for sale,1295000,3 ,2 ,1250,1036.0, Rachel E. Swann,COMPASS
685,8100 Oceanview Ter APT 224,94132,- Condo for sale,835000,2 ,2 ,950,878.9473684210526,0,0
686,254 Roosevelt Way,94114,- House for sale,2495000,5 ,1 ,2500,998.0, Jack A. Burrows,VANGUARD PROPERTIES
687,51 Innes Ct. #312 Plan,Monarch,- New construction,965000,2 ,2 ,1080,893.5185185185185,0,Lennar
688,488 Folsom St #4003,94105,- New construction,1630000,1 ,2 ,921,1769.815418023887, INC.,RELATED CA RES. SALES
689,100 College Ave #104,94112,- Multi-family home for sale,2950000,9 ,3 ,5472,539.1081871345029, Christian V. Nguyen,MOSAIK REAL ESTATE
690,3460 22nd St,94110,- Multi-family home for sale,2345000,4 ,-- ,2260,1037.6106194690265, Michelle K. Pender,ENGEL & VOELKERS SAN FRANCISCO
691,140 S Van Ness Ave UNIT 1029,94103,- Condo for sale,899000,2 ,2 ,1153,779.705117085863, Lota de Castro,COLDWELL BANKER REALTY
692,Plan B Plan,Portola,- New construction,1450000,3 ,4 ,1789,810.508664058133,0,Tri Pointe Homes
693,135 Red Rock Way APT 107L,94131,- Condo for sale,609000,Studio,1 ,592,1028.7162162162163, PARK NORTH REAL ESTATE,Ring Bros.
694,10 Reno Pl,94133,- Multi-family home for sale,6995000,7 ,8 ,0,inf, Victoria A. Clemons,COMPASS
695,1655 Dolores St,94110,- House for sale,3195000,5 ,4 ,3430,931.4868804664723, Peter J. Fatooh,PETER FATOOH REALTY
696,480 Mission Bay Blvd #313,94158,- New construction,1599000,2 ,2 ,1220,1310.655737704918, Dianne M. Hartnett,COMPASS
697,355 1st St UNIT S2103,94105,- Condo for sale,949000,1 ,1 ,722,1314.404432132964, Ksenia Jury,SKYBOX REALTY
698,45 Bartlett St UNIT 805,94110,- New construction,1195000,2 ,2 ,916,1304.585152838428, Houda Tanverakul,COMPASS
